"","aspect","mnasp","sdasp","count","stderrmn","lower","upper"
"1","NE",4.53333333333333,2.10966032020955,6,0.861265219184995,2.31938060523106,6.74728606143561
"2","SE",5.75,2.58514989894203,6,1.05538302683591,3.03705156157673,8.46294843842327
"3","W",3.93333333333333,2.55160080472371,6,1.04168666647467,1.255592510069,6.61107415659766
